  Well ,  Sample ID ,  Date , CN25.P05.CN25.Concentration Concentration for CN25 gated by P05.CN25  (cells/mL) , HNA.Percent Percent for HNA gated by P05.PotentialPostives  (%) , HNA.Concentration Concentration for HNA gated by P05.PotentialPostives  (cells/mL) , all_cells.Concentration Concentration for all_cells gated by P05.PotentialPostives  (cells/mL) 
 A01, E0-Rep 001, 04.08.2019,99321.19264,42.35,54911.91264,98076.43617
 A01, E0-Rep 002, 04.08.2019,97888.18347,41.36,53759.86281,98304.12052
 A02, E0.5-Rep 001, 04.08.2019,219466.3409,59.07,145563.4039,212714.2886
 A02, E0.5-Rep 002, 04.08.2019,218312.8625,57.17,142525.3666,213850.3751
 A03, E1-Rep 001, 04.08.2019,328663.437,62.94,225019.8708,311788.7343
 A03, E1-Rep 002, 04.08.2019,324652.4036,60.67,215122.994,304831.4454
 A04, E1.5-Rep 001, 04.08.2019,768668.572,66.77,538664.9932,704370.8335
 A04, E1.5-Rep 002, 04.08.2019,765340.9891,67.48,543290.658,707855.878
 A05, E2-Rep 001, 04.08.2019,844198.4381,66.99,603874.5688,796512.2689
 A05, E2-Rep 002, 04.08.2019,833494.7451,66.46,591311.494,781000.9471
 A06, E2.5-Rep 001, 04.08.2019,924220.1572,65.4,639686.7211,854382.7996
 A06, E2.5-Rep 002, 04.08.2019,935083.851,67.25,665091.3694,874755.8606
 A07, E3-Rep 001, 04.08.2019,941218.921,59.49,597706.1658,849387.7837
 A07, E3-Rep 002, 04.08.2019,946908.3616,62.95,634869.3297,883068.4433
 A08, E3.5-Rep 001, 04.08.2019,871476.3379,62.57,594767.3916,828986.163
 A08, E3.5-Rep 002, 04.08.2019,870326.6511,62.91,595715.9136,823453.4391
 A09, E4-Rep 001, 04.08.2019,778061.5423,63.79,542135.9452,744576.4251
 A09, E4-Rep 002, 04.08.2019,778550.8079,63.41,539893.9931,737341.4257
 A10, E4.5-Rep 001, 04.08.2019,1033904.212,67.33,747479.5509,993493.9107
 A10, E4.5-Rep 002, 04.08.2019,1045635.903,68.93,776092.2019,1016362.151
 A11, E5-Rep 001, 04.08.2019,809872.8575,58.49,546234.5876,800814.086
 A11, E5-Rep 002, 04.08.2019,816776.3759,56.53,537262.8407,810598.7561
 A12, E5.5-Rep 001, 04.08.2019,1078287.932,64.53,751830.5806,1018751.991
 A12, E5.5-Rep 002, 04.08.2019,1062687.394,65.86,752808.3444,1016851.356
 B01, E6-Rep 001, 04.08.2019,884085.6441,62.41,615938.6587,864445.8759
 B01, E6-Rep 002, 04.08.2019,887429.6567,62.13,615632.0296,865333.0943
 B02, E6.5-Rep 001, 04.08.2019,1044307.899,67.12,752323.1319,1013932.517
 B02, E6.5-Rep 002, 04.08.2019,1033176.216,65.45,728521.6909,988986.2832
 B03, E7-Rep 001, 04.08.2019,961424.7883,64.92,688838.9499,941901.3183
 B03, E7-Rep 002, 04.08.2019,973495.9845,65.36,702137.4702,956522.6491
 B04, E8-Rep 001, 04.08.2019,985866.8626,62.07,692617.5004,980064.3638
 B04, E8-Rep 002, 04.08.2019,998156.8752,60.59,684686.121,977138.2883
 B05, E9-Rep 001, 04.08.2019,832214.8131,56.96,551389.5051,826309.8342
 B05, E9-Rep 002, 04.08.2019,833546.5211,58.91,572443.758,846081.7859
 B06, E10-Rep 001, 04.08.2019,758475.6264,62.62,530500.8793,735686.6235
 B06, E10-Rep 002, 04.08.2019,754284.0464,63.14,529348.6128,728713.6747
 B07, E11-Rep 001, 04.08.2019,509619.431,60.07,360278.2066,513637.8494
 B07, E11-Rep 002, 04.08.2019,509130.8342,59.64,358622.4513,511235.4261
 B08, E11_P-Rep 001, 04.08.2019,541725.6508,57.06,360224.515,516473.3189
 B08, E11_P-Rep 002, 04.08.2019,544697.2531,59.04,373723.7167,528872.2312
 B09, E12-Rep 001, 04.08.2019,307178.3245,52.78,204837.2959,320528.8417
 B09, E12-Rep 002, 04.08.2019,306163.2925,52.49,204876.4817,322907.8173
 B10, E13-Rep 001, 04.08.2019,224260.5071,49.19,138359.1414,228338.9937
 B10, E13-Rep 002, 04.08.2019,226425.5272,50.83,144515.4388,232424.4959
 B11, E15-Rep 001, 04.08.2019,212671.2579,42.74,125407.9686,229777.6794
 B11, E15-Rep 002, 04.08.2019,215235.7915,43.89,130389.2186,235972.1038
 C01, F0-Rep 001, 04.08.2019,98976.90862,42.38,54391.09682,100722.352
 C01, F0-Rep 002, 04.08.2019,72876.1087,41.82635692,39463.19566,73502.34831
 C02, F0.5-Rep 001, 04.08.2019,241951.8434,60.88,163521.6278,233786.5059
 C02, F0.5-Rep 002, 04.08.2019,245374.995,60.33,166368.5486,239914.8637
 C03, F1-Rep 001, 04.08.2019,372139.8437,66.29,267648.3697,359098.5971
 C03, F1-Rep 002, 04.08.2019,375954.5492,65.23,270053.0255,367633.1238
 C04, F1.5-Rep 001, 04.08.2019,809796.1636,71.01,602763.3708,769900.5455
 C04, F1.5-Rep 002, 04.08.2019,811796.4151,71.33,608506.077,778184.8359
 C05, F2-Rep 001, 04.08.2019,904209.1398,68.47,656047.4706,851606.5312
 C05, F2-Rep 002, 04.08.2019,913547.0239,69.74,671275.6237,859356.0035
 C06, F2.5-Rep 001, 04.08.2019,992690.6001,67,705006.0442,937447.5892
 C06, F2.5-Rep 002, 04.08.2019,983668.2966,66.39,689679.3559,922896.7311
 C07, F3-Rep 001, 04.08.2019,940833.909,63.76,642471.5651,888537.3685
 C07, F3-Rep 002, 04.08.2019,948796.6791,65.19,659263.009,903187.2885
 C08, F3.5-Rep 001, 04.08.2019,1133969.41,68.61,821732.5856,1076720.004
 C08, F3.5-Rep 002, 04.08.2019,1151212.096,67.59,820093.0183,1080232.008
 C09, F4-Rep 001, 04.08.2019,845348.4319,62.89,581217.4798,809767.4604
 C09, F4-Rep 002, 04.08.2019,845421.3372,62.22,577347.334,816934.4147
 C10, F4.5-Rep 001, 04.08.2019,1284321.796,68.01,919826.5094,1218185.174
 C10, F4.5-Rep 002, 04.08.2019,1304299.364,69.25,949366.5223,1248091.382
 C11, F5-Rep 001, 04.08.2019,955235.8249,63.46,660628.4378,913282.9002
 C11, F5-Rep 002, 04.08.2019,945231.3829,63.54,656824.1696,917321.0074
 C12, F5.5-Rep 001, 04.08.2019,1361485.787,69.3,995578.4009,1292958.962
 C12, F5.5-Rep 002, 04.08.2019,1379499.195,67.65,983694.7461,1296761.234
 D01, F6-Rep 001, 04.08.2019,712451.4218,49.39,458774.1294,773664.6534
 D01, F6-Rep 002, 04.08.2019,702684.3906,49.06,451403.6429,757982.7171
 D02, F6.5-Rep 001, 04.08.2019,1172456.216,65.7,831412.557,1116395.978
 D02, F6.5-Rep 002, 04.08.2019,1155246.976,64.84,811639.5488,1117944.604
 D03, F7-Rep 001, 04.08.2019,1102096.077,62.47,756737.1064,1077747.725
 D03, F7-Rep 002, 04.08.2019,1086646.018,62.03,740222.4082,1054187.45
 D04, F8-Rep 001, 04.08.2019,1243254.716,64.14,862452.4931,1196461.223
 D04, F8-Rep 002, 04.08.2019,1250161.668,64.31,869824.6984,1206203.804
 D05, F9-Rep 001, 04.08.2019,1021228.875,57.59,679442.8251,1022290.689
 D05, F9-Rep 002, 04.08.2019,1023989.083,56.2,663379.6712,1011594.979
 D06, F10-Rep 001, 04.08.2019,926020.7873,61.89,633765.6367,904106.7711
 D06, F10-Rep 002, 04.08.2019,935566.7407,62.74,646091.9903,910130.8591
 D07, F11-Rep 001, 04.08.2019,624562.9277,54.58,394544.4976,607503.107
 D07, F11-Rep 002, 04.08.2019,627780.1006,57.25,412586.5086,616897.9063
 D08, F11_P-Rep 001, 04.08.2019,620102.5381,57.37,405601.2155,593448.9459
 D08, F11_P-Rep 002, 04.08.2019,622295.4563,56.93,405950.273,601331.223
 D09, F12-Rep 001, 04.08.2019,375149.9527,53.45,236348.0077,367544.3667
 D09, F12-Rep 002, 04.08.2019,370069.7622,52.44,231001.7656,367867.2282
 D10, F13-Rep 001, 04.08.2019,300234.0492,52.39,192101.3903,303460.7952
 D10, F13-Rep 002, 04.08.2019,288925.1278,50.53,182423.9249,296362.161
 D11, F15-Rep 001, 04.08.2019,322215.9657,46.16,188821.7465,316120.9829
 D11, F15-Rep 002, 04.08.2019,318041.7008,45.58,186017.4608,312572.9996
 E01, Leachate-Rep 001, 04.08.2019,12898.06934,23.75616316,5353.15329,9736.678814
 E01, Leachate-Rep 002, 04.08.2019,3171.486997,21.20658135,1171.632139,2706.874252
 E02, UV_Leachate-Rep 001, 04.08.2019,6514.664058,2.52293578,333.3083937,1262.531794
 E02, UV_Leachate-Rep 002, 04.08.2019,2383.663377,3.719008264,181.8048338,959.5255119
